,id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
463,70,"Burton, William Shakespeare",Male,1824–1916,1824.0,1916.0,"London, United Kingdom",,http://www.tate.org.uk/art/artists/william-shakespeare-burton-70
464,15853,"Burtynsky, Edward",Male,born 1955,1955.0,,"Saint Catharines, Canada",,http://www.tate.org.uk/art/artists/edward-burtynsky-15853
465,841,"Bury, Pol",Male,1922–2005,1922.0,2005.0,België,"Paris, France",http://www.tate.org.uk/art/artists/pol-bury-841
466,842,"Bush, Jack",Male,1909–1977,1909.0,1977.0,"Toronto, Canada","Toronto, Canada",http://www.tate.org.uk/art/artists/jack-bush-842
467,843,"Bussy, Simon",Male,1870–1954,1870.0,1954.0,"Dôle, France",,http://www.tate.org.uk/art/artists/simon-bussy-843
468,6992,"Bustamante, Jean-Marc",Male,born 1952,1952.0,,"Toulouse, France",,http://www.tate.org.uk/art/artists/jean-marc-bustamante-6992
469,71,"Butler, Elizabeth",Female,1846–1933,1846.0,1933.0,"Lausanne, Schweiz",Éire,http://www.tate.org.uk/art/artists/elizabeth-butler-lady-butler-71
470,72,"Butler, Mildred Anne",Female,1858–1941,1858.0,1941.0,"Thomastown, Éire","Thomastown, Éire",http://www.tate.org.uk/art/artists/mildred-anne-butler-72
471,844,"Butler, Reg",Male,1913–1981,1913.0,1981.0,"Buntingford, United Kingdom","Berkhamsted, United Kingdom",http://www.tate.org.uk/art/artists/reg-butler-844
472,73,"Butler, Samuel",Male,1835–1902,1835.0,1902.0,"Nottinghamshire, United Kingdom",,http://www.tate.org.uk/art/artists/samuel-butler-73
473,2263,"Butts, John",Male,c.1728–1764,1728.0,1764.0,"Cork, Éire","Dublin, Éire",http://www.tate.org.uk/art/artists/john-butts-2263
474,74,"Buvelot, Louis",Male,1814–1888,1814.0,1888.0,"Morges, Schweiz","Melbourne, Australia",http://www.tate.org.uk/art/artists/louis-buvelot-74
475,11455,"Byrne, Gerard",Male,born 1969,1969.0,,"Dublin, Éire",,http://www.tate.org.uk/art/artists/gerard-byrne-11455
476,14505,"Cabrita Reis, Pedro",Male,born 1956,1956.0,,"Lisboa, Portugal",,http://www.tate.org.uk/art/artists/pedro-cabrita-reis-14505
477,9243,"Cadere, André",Male,1934–1978,1934.0,1978.0,Polska,France,http://www.tate.org.uk/art/artists/andre-cadere-9243
478,845,"Cage, John",Male,1912–1992,1912.0,1992.0,"Los Angeles, United States","New York, United States",http://www.tate.org.uk/art/artists/john-cage-845
479,846,"Cahn, Miriam",Female,born 1949,1949.0,,"Basel, Schweiz",,http://www.tate.org.uk/art/artists/miriam-cahn-846
480,10611,"Cahun, Claude",Male,1894–1954,1894.0,1954.0,"Nantes, France",,http://www.tate.org.uk/art/artists/claude-cahun-10611
481,75,"Cain, Neville",Male,1855–1935,1855.0,1935.0,"Louisville, United States","Louisville, United States",http://www.tate.org.uk/art/artists/neville-cain-75
482,847,"Caiserman-Roth, Ghitta",Female,1923–2005,1923.0,2005.0,"Québec, Canada",Montréal,http://www.tate.org.uk/art/artists/ghitta-caiserman-roth-847
483,76,"Caldecott, Randolph",Male,1846–1886,1846.0,1886.0,"Chester, United Kingdom","Saint Augustine, United States",http://www.tate.org.uk/art/artists/randolph-caldecott-76
484,848,"Calder, Alexander",Male,1898–1976,1898.0,1976.0,"Philadelphia, United States","New York, United States",http://www.tate.org.uk/art/artists/alexander-calder-848
485,77,"Calderon, Philip Hermogenes",Male,1833–1898,1833.0,1898.0,"Poitiers, France","London, United Kingdom",http://www.tate.org.uk/art/artists/philip-hermogenes-calderon-77
486,13491,"Callahan, Harry",Male,1912–1999,1912.0,1999.0,"Detroit, United States","Atlanta, United States",http://www.tate.org.uk/art/artists/harry-callahan-13491
487,78,"Callcott, Sir Augustus Wall",Male,1779–1844,1779.0,1844.0,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-augustus-wall-callcott-78
488,2692,"Calle, Sophie",Female,born 1953,1953.0,,"Paris, France",,http://www.tate.org.uk/art/artists/sophie-calle-2692
489,2396,"Callery, Simon",Male,born 1960,1960.0,,"London, United Kingdom",,http://www.tate.org.uk/art/artists/simon-callery-2396
490,849,"Calliyannis, Manolis",Male,1923–2010,1923.0,2010.0,"Lésvos, Ellás",,http://www.tate.org.uk/art/artists/manolis-calliyannis-849
491,79,"Callow, William",Male,1812–1908,1812.0,1908.0,"Greenwich, United Kingdom","Buckinghamshire, United Kingdom",http://www.tate.org.uk/art/artists/william-callow-79
492,80,"Calthrop, Claude",Male,1845–1893,1845.0,1893.0,,,http://www.tate.org.uk/art/artists/claude-calthrop-80
493,2417,"Calvert, Charles",Male,1785–1852,1785.0,1852.0,"Glossop, United Kingdom","Cumbria, United Kingdom",http://www.tate.org.uk/art/artists/charles-calvert-2417
494,81,"Calvert, Edward",Male,1799–1883,1799.0,1883.0,"Devon, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/edward-calvert-81
495,6260,"Calzadilla, Guillermo",Male,born 1971,1971.0,,"La Habana, Cuba",,http://www.tate.org.uk/art/artists/guillermo-calzadilla-6260
496,850,"Camargo, Sergio de",Male,1930–1990,1930.0,1990.0,"Rio de Janeiro, Brasil","Rio de Janeiro, Brasil",http://www.tate.org.uk/art/artists/sergio-de-camargo-850
497,852,"Cameron, Katherine",Female,1874–1965,1874.0,1965.0,"Glasgow, United Kingdom",,http://www.tate.org.uk/art/artists/katherine-cameron-852
498,851,"Cameron, Sir David",Male,1865–1945,1865.0,1945.0,"Glasgow, United Kingdom","Perth, United Kingdom",http://www.tate.org.uk/art/artists/sir-david-cameron-851
499,6211,"Camnitzer, Luis",Male,born 1937,1937.0,,"Lübeck, Deutschland",,http://www.tate.org.uk/art/artists/luis-camnitzer-6211
500,853,"Camp, Jeffery",Male,born 1923,1923.0,,"Oulton Broad, United Kingdom",,http://www.tate.org.uk/art/artists/jeffery-camp-853
501,12393,"Campbell, Duncan",Male,born 1972,1972.0,,Éire,,http://www.tate.org.uk/art/artists/duncan-campbell-12393
502,2385,"Campbell, James",Male,1828–1893,1828.0,1893.0,"Liverpool, United Kingdom","Liverpool, United Kingdom",http://www.tate.org.uk/art/artists/james-campbell-2385
503,854,"Campbell, Steven",Male,1954–2007,1954.0,2007.0,"Glasgow, United Kingdom","Stirling, United Kingdom",http://www.tate.org.uk/art/artists/steven-campbell-854
504,82,"Campion, George B.",Male,1796–1870,1796.0,1870.0,,"München, Deutschland",http://www.tate.org.uk/art/artists/george-b-campion-82
505,11797,"Campus, Peter",Male,born 1937,1937.0,,"New York, United States",,http://www.tate.org.uk/art/artists/peter-campus-11797
506,2302,Canaletto,Male,1697–1768,1697.0,1768.0,"Venezia, Italia","Venezia, Italia",http://www.tate.org.uk/art/artists/canaletto-giovanni-antonio-canal-2302
507,13793,"Caniaris, Vlassis",Male,1928–2011,1928.0,2011.0,"Athínai, Ellás",,http://www.tate.org.uk/art/artists/vlassis-caniaris-13793
508,855,"Canin, Martin",Male,born 1927,1927.0,,United States,,http://www.tate.org.uk/art/artists/martin-canin-855
509,12113,"Cantor, Ellen",Female,1963 – 2013,1963.0,2013.0,"Detroit, United States",,http://www.tate.org.uk/art/artists/ellen-cantor-12113
510,10272,"Cao, Fei",Female,born 1978,1978.0,,"Guangzhou, Zhonghua",,http://www.tate.org.uk/art/artists/cao-fei-10272
511,856,"Capel Doray, Audrey",Female,born 1931,1931.0,,"Montréal, Canada",,http://www.tate.org.uk/art/artists/audrey-capel-doray-856
512,857,"Carder, Malcolm",Male,born 1936,1936.0,,,,http://www.tate.org.uk/art/artists/malcolm-carder-857
513,8803,"Cardew, Michel",Male,1901–1983,1901.0,1983.0,"Wimbledon, United Kingdom","Truro, United Kingdom",http://www.tate.org.uk/art/artists/michael-cardew-8803
514,4499,"Cardiff, Janet",Female,born 1957,1957.0,,"Brussels, Canada",,http://www.tate.org.uk/art/artists/janet-cardiff-4499
515,859,"Cardoso, José, Junior",Male,1861–1947,1861.0,1947.0,"Coimbra, Portugal","Rio de Janeiro, Brasil",http://www.tate.org.uk/art/artists/jose-cardoso-junior-859
516,9119,"Cardoso, Maria",Female,born 1963,1963.0,,Colombia,,http://www.tate.org.uk/art/artists/maria-fernanda-cardoso-9119
517,83,"Carline, George",Male,1855–1920,1855.0,1920.0,"Lincoln, United Kingdom","Assisi, Italia",http://www.tate.org.uk/art/artists/george-carline-83
518,860,"Carline, Hilda",Female,1889–1950,1889.0,1950.0,"London, United Kingdom",,http://www.tate.org.uk/art/artists/hilda-carline-860
519,861,"Carline, Nancy",Female,1909–2004,1909.0,2004.0,"London, United Kingdom",,http://www.tate.org.uk/art/artists/nancy-carline-861
520,862,"Carline, Richard",Male,1896–1980,1896.0,1980.0,"Oxford, United Kingdom","Hampstead, United Kingdom",http://www.tate.org.uk/art/artists/richard-carline-862
521,863,"Carline, Sydney",Male,1888–1929,1888.0,1929.0,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/sydney-carline-863
522,84,"Carlisle, George Howard, Ninth Earl of",Male,1843–1911,1843.0,1911.0,"London, United Kingdom","Surrey, United Kingdom",http://www.tate.org.uk/art/artists/george-howard-ninth-earl-of-carlisle-84
523,864,"Carlo, Michael",Male,born 1945,1945.0,,"Glemsford, United Kingdom",,http://www.tate.org.uk/art/artists/michael-carlo-864
524,5248,"Carnegie, Gillian",Female,born 1971,1971.0,,"Suffolk, United Kingdom",,http://www.tate.org.uk/art/artists/gillian-carnegie-5248
525,11738,"Carneiro, André",Male,born 1922,1922.0,,"Atibaia, Brasil",,http://www.tate.org.uk/art/artists/andre-carneiro-11738
526,16015,"Caro, Antonio",Male,born 1950,1950.0,,"Bogotá, Colombia",,http://www.tate.org.uk/art/artists/antonio-caro-16015
527,865,"Caro, Sir Anthony",Male,1924–2013,1924.0,2013.0,"Surrey, United Kingdom",,http://www.tate.org.uk/art/artists/sir-anthony-caro-865
528,866,"Carr, Thomas",Male,1909–1999,1909.0,1999.0,"Belfast, United Kingdom","Norwich, United Kingdom",http://www.tate.org.uk/art/artists/thomas-carr-866
529,867,"Carrière, Eugène",Male,1849–1906,1849.0,1906.0,"Seine-Maritime, Département de la, France",,http://www.tate.org.uk/art/artists/eugene-carriere-867
530,868,"Carrington, Dora",Female,1893–1932,1893.0,1932.0,"Hereford, United Kingdom","Berkshire, United Kingdom",http://www.tate.org.uk/art/artists/dora-carrington-868
531,7615,"Carrington, Leonora",Female,1917–2011,1917.0,2011.0,"Lancashire, United Kingdom","Ciudad de México, México",http://www.tate.org.uk/art/artists/leonora-carrington-7615
532,869,"Carter, B.A.R.",Male,1909–2006,1909.0,2006.0,"Kenilworth, United Kingdom",,http://www.tate.org.uk/art/artists/bar-carter-869
