,id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
0,10093,"Abakanowicz, Magdalena",Female,born 1930,1930.0,,Polska,,http://www.tate.org.uk/art/artists/magdalena-abakanowicz-10093
1,0,"Abbey, Edwin Austin",Male,1852–1911,1852.0,1911.0,"Philadelphia, United States","London, United Kingdom",http://www.tate.org.uk/art/artists/edwin-austin-abbey-0
2,2756,"Abbott, Berenice",Female,1898–1991,1898.0,1991.0,"Springfield, United States","Monson, United States",http://www.tate.org.uk/art/artists/berenice-abbott-2756
3,1,"Abbott, Lemuel Francis",Male,1760–1803,1760.0,1803.0,"Leicestershire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/lemuel-francis-abbott-1
4,622,"Abrahams, Ivor",Male,born 1935,1935.0,,"Wigan, United Kingdom",,http://www.tate.org.uk/art/artists/ivor-abrahams-622
5,2606,Absalon,Male,1964–1993,1964.0,1993.0,"Tel Aviv-Yafo, Yisra'el","Paris, France",http://www.tate.org.uk/art/artists/absalon-2606
6,9550,"Abts, Tomma",Female,born 1967,1967.0,,"Kiel, Deutschland",,http://www.tate.org.uk/art/artists/tomma-abts-9550
7,623,"Acconci, Vito",Male,born 1940,1940.0,,"New York, United States",,http://www.tate.org.uk/art/artists/vito-acconci-623
8,624,"Ackling, Roger",Male,1947–2014,1947.0,2014.0,"Isleworth, United Kingdom",,http://www.tate.org.uk/art/artists/roger-ackling-624
9,625,"Ackroyd, Norman",Male,born 1938,1938.0,,"Leeds, United Kingdom",,http://www.tate.org.uk/art/artists/norman-ackroyd-625
10,2411,"Adam, Robert",Male,1728–1792,1728.0,1792.0,"Kirkcaldy, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/robert-adam-2411
11,626,"Adams, Harry William",Male,1868–1947,1868.0,1947.0,"Worcester, United Kingdom","Worcester, United Kingdom",http://www.tate.org.uk/art/artists/harry-william-adams-626
12,627,"Adams, Norman",Male,1927–2005,1927.0,2005.0,"London, United Kingdom",,http://www.tate.org.uk/art/artists/norman-adams-627
13,628,"Adams, Robert",Male,1917–1984,1917.0,1984.0,"Northampton, United Kingdom",,http://www.tate.org.uk/art/artists/robert-adams-628
14,629,"Adeney, Bernard",Male,1878–1966,1878.0,1966.0,"London, United Kingdom",,http://www.tate.org.uk/art/artists/bernard-adeney-629
15,630,"Adler, Jankel",Male,1895–1949,1895.0,1949.0,"Tuszyn, Polska","Aldbourne, United Kingdom",http://www.tate.org.uk/art/artists/jankel-adler-630
16,2608,"Adshead, Mary",Female,1904–1995,1904.0,1995.0,"London, United Kingdom","Hampstead, United Kingdom",http://www.tate.org.uk/art/artists/mary-adshead-2608
17,631,"Adzak, Roy",Male,1927–1987,1927.0,1987.0,"Reading, United Kingdom","Paris, France",http://www.tate.org.uk/art/artists/roy-adzak-631
18,632,Afro,Male,1912–1976,1912.0,1976.0,"Udine, Italia","Zürich, Schweiz",http://www.tate.org.uk/art/artists/afro-afro-basaldella-632
19,633,"Agar, Eileen",Female,1899–1991,1899.0,1991.0,"Ayacucho, Argentina","London, United Kingdom",http://www.tate.org.uk/art/artists/eileen-agar-633
20,2,"Agasse, Jacques Laurent",Male,1767–1849,1767.0,1849.0,"Genève, Schweiz","London, United Kingdom",http://www.tate.org.uk/art/artists/jacques-laurent-agasse-2
21,3098,"Ahtila, Eija-Liisa",Female,born 1959,1959.0,,"Hämeenlinna, Suomi",,http://www.tate.org.uk/art/artists/eija-liisa-ahtila-3098
22,8208,"Ai, Weiwei",Male,born 1957,1957.0,,"Beijing, Zhonghua",,http://www.tate.org.uk/art/artists/ai-weiwei-8208
23,634,"Aitchison, Craigie",Male,1926–2009,1926.0,2009.0,"Edinburgh, United Kingdom",,http://www.tate.org.uk/art/artists/craigie-aitchison-634
24,635,"Ajmone, Giuseppe",Male,1923–2005,1923.0,2005.0,"Carpignano Sesia, Italia",,http://www.tate.org.uk/art/artists/giuseppe-ajmone-635
25,14744,"Aksel, Erdag",Male,born 1953,1953.0,,"Izmir, Türkiye",,http://www.tate.org.uk/art/artists/erdag-aksel-14744
26,7794,"Al-Ani, Jananne",Female,born 1966,1966.0,,"Kirkuk, Al-‘Iraq",,http://www.tate.org.uk/art/artists/jananne-al-ani-7794
27,3067,"Albers, Anni",Female,1899–1994,1899.0,1994.0,"Berlin, Deutschland","Orange, United States",http://www.tate.org.uk/art/artists/anni-albers-3067
28,636,"Albers, Josef",Male,1888–1976,1888.0,1976.0,"Bottrop, Deutschland","New Haven, United States",http://www.tate.org.uk/art/artists/josef-albers-636
29,637,"Albright, Ivan",Male,1897–1983,1897.0,1983.0,"Chicago, United States","Woodstock, United States",http://www.tate.org.uk/art/artists/ivan-albright-637
30,638,"Aldridge, John",Male,1905–1983,1905.0,1983.0,"Greenwich, United Kingdom",,http://www.tate.org.uk/art/artists/john-aldridge-638
31,639,"Alechinsky, Pierre",Male,born 1927,1927.0,,"Bruxelles, België",,http://www.tate.org.uk/art/artists/pierre-alechinsky-639
32,640,"Alexander, Edwin",Male,1870–1926,1870.0,1926.0,"Edinburgh, United Kingdom","Musselburgh, United Kingdom",http://www.tate.org.uk/art/artists/edwin-alexander-640
33,2470,"Alexander, William",Male,1767–1816,1767.0,1816.0,"Maidstone, United Kingdom","Maidstone, United Kingdom",http://www.tate.org.uk/art/artists/william-alexander-2470
34,11315,"Alimpiev, Victor",Male,born 1973,1973.0,,"Moskva, Rossiya",,http://www.tate.org.uk/art/artists/victor-alimpiev-11315
35,2472,Alken Family,Male,1756 –1894,1756.0,1894.0,,,http://www.tate.org.uk/art/artists/alken-family-2472
36,3,"Alken, Henry Thomas",Male,1785–1851,1785.0,1851.0,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/henry-thomas-alken-3
37,2471,"Alken, Samuel, Senior",Male,1756–1815,1756.0,1815.0,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/samuel-alken-senior-2471
38,2473,"Allan, David",Male,1744–1796,1744.0,1796.0,"Alloa, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/david-allan-2473
39,641,"Allan, Julian Phelps",Female,1892–1996,1892.0,1996.0,"Southampton, United Kingdom",,http://www.tate.org.uk/art/artists/julian-phelps-allan-641
40,4,"Allan, Sir William",Male,1782–1850,1782.0,1850.0,"Edinburgh, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/sir-william-allan-4
41,2304,"Allen, George Warner",Male,1916–1988,1916.0,1988.0,"Paris, France","Wallingford, United Kingdom",http://www.tate.org.uk/art/artists/george-warner-allen-2304
42,5,"Allen, Joseph William",Male,1803–1852,1803.0,1852.0,"Lambeth, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/joseph-william-allen-5
43,12153,"Allen, Phillip",Male,born 1967,1967.0,,"London, United Kingdom",,http://www.tate.org.uk/art/artists/phillip-allen-12153
44,12520,"Allen, Richard",Male,1933–1999,1933.0,1999.0,"Worcestershire, United Kingdom",,http://www.tate.org.uk/art/artists/richard-allen-12520
45,642,"Alley, Anthea",Female,1927–1993,1927.0,1993.0,"Seremban, Malaysia",,http://www.tate.org.uk/art/artists/anthea-alley-642
46,643,"Allington, Edward",Male,born 1951,1951.0,,"Cumbria, United Kingdom",,http://www.tate.org.uk/art/artists/edward-allington-643
47,644,"Allinson, Adrian",Male,1890–1959,1890.0,1959.0,"London, United Kingdom",,http://www.tate.org.uk/art/artists/adrian-allinson-644
48,2273,"Allom, Thomas",Male,1804–1872,1804.0,1872.0,"London, United Kingdom","Barnes, United Kingdom",http://www.tate.org.uk/art/artists/thomas-allom-2273
49,6259,"Allora, Jennifer",Female,born 1974,1974.0,,"Philadelphia, United States",,http://www.tate.org.uk/art/artists/jennifer-allora-6259
50,6,"Alma-Tadema, Sir Lawrence",Male,1836–1912,1836.0,1912.0,"Dronrijp, Nederland","Wiesbaden, Deutschland",http://www.tate.org.uk/art/artists/sir-lawrence-alma-tadema-6
51,12989,"Almeida, Helena",Female,born 1934,1934.0,,"Lisboa, Portugal",,http://www.tate.org.uk/art/artists/helena-almeida-12989
52,2657,"Almond, Darren",Male,born 1971,1971.0,,"Wigan, United Kingdom",,http://www.tate.org.uk/art/artists/darren-almond-2657
53,7620,"Althamer, Pawel",Male,born 1967,1967.0,,"Warszawa, Polska",,http://www.tate.org.uk/art/artists/pawel-althamer-7620
54,645,"Altoon, John",Male,1925–1969,1925.0,1969.0,"Los Angeles, United States",Los Angeles,http://www.tate.org.uk/art/artists/john-altoon-645
55,4427,"Alÿs, Francis",Male,born 1959,1959.0,,"Antwerpen, België",,http://www.tate.org.uk/art/artists/francis-alys-4427
56,7,"Amiconi, Giacomo",Male,1682–1752,1682.0,1752.0,"Napoli, Italia","Madrid, España",http://www.tate.org.uk/art/artists/giacomo-amiconi-7
57,646,"Amiet, Cuno",Male,1868–1961,1868.0,1961.0,Solothurn,Schweiz,http://www.tate.org.uk/art/artists/cuno-amiet-646
58,7533,"Amorales, Carlos",Male,born 1970,1970.0,,"Ciudad de México, México",,http://www.tate.org.uk/art/artists/carlos-amorales-7533
59,647,"Amuchastegui, Axel",Male,1921–2002,1921.0,2002.0,"Córdoba, España",,http://www.tate.org.uk/art/artists/axel-amuchastegui-647
60,14647,"Amzalag, Michael",Male,born 1967,1967.0,,"Paris, France",,http://www.tate.org.uk/art/artists/michael-amzalag-14647
61,12583,"Anderson, Hurvin",Male,born 1965,1965.0,,"Birmingham, United Kingdom",,http://www.tate.org.uk/art/artists/hurvin-anderson-12583
62,8,"Anderton, Henry",Male,c.1630–1665,1630.0,1665.0,,,http://www.tate.org.uk/art/artists/henry-anderton-8
63,8961,"Andrade Tudela, Armando",Male,born 1975,1975.0,,"Lima, Perú",,http://www.tate.org.uk/art/artists/armando-andrade-tudela-8961
64,15587,"Andrade, Jonathas de",Male,born 1982,1982.0,,"Maceió, Brasil",,http://www.tate.org.uk/art/artists/jonathas-de-andrade-15587
65,648,"Andre, Carl",Male,born 1935,1935.0,,"Quincy, United States",,http://www.tate.org.uk/art/artists/carl-andre-648
66,2704,"Andreenko, Michel",Male,1894 –1982,1894.0,1982.0,"Odessa, Ukrayina","Paris, France",http://www.tate.org.uk/art/artists/michel-andreenko-mikhail-fedorovich-andriicenko-nechytailo-2704
67,649,"Andrews, Michael",Male,1928–1995,1928.0,1995.0,"Norwich, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/michael-andrews-649
68,9,"Angellis, Peter",Male,1685–1734,1685.0,1734.0,"Dunkerque, France","Rennes, France",http://www.tate.org.uk/art/artists/peter-angellis-9
69,650,"Annesley, David",Male,born 1936,1936.0,,"London, United Kingdom",,http://www.tate.org.uk/art/artists/david-annesley-650
70,5221,Anonymous,,,,,,,http://www.tate.org.uk/art/artists/anonymous-5221
71,651,"Anquetin, Louis",Male,1861–1932,1861.0,1932.0,"Eure, France","Paris, France",http://www.tate.org.uk/art/artists/louis-anquetin-651
72,652,"Anrep, Boris",Male,1883–1969,1883.0,1969.0,"Sankt-Peterburg, Rossiya",,http://www.tate.org.uk/art/artists/boris-anrep-652
73,13677,"Ansarinia, Nazgol",Female,born 1979,1979.0,,"Tehran, Îran",,http://www.tate.org.uk/art/artists/nazgol-ansarinia-13677
74,10,"Ansdell, Richard",Male,1815–1885,1815.0,1885.0,"Liverpool, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/richard-ansdell-10
75,12475,"Anselmo, Giovanni",Male,born 1934,1934.0,,"Piemonte, Italia",,http://www.tate.org.uk/art/artists/giovanni-anselmo-12475
76,15135,"Ant Farm (Chip Lord, born 1944, Doug Michels, 1943-2003, Curtis Schreier, born 1944)",Male,,,,,,http://www.tate.org.uk/art/artists/ant-farm-chip-lord-born-1944-doug-michels-1943-2003-curtis-schreier-born-1944-15135
77,11604,"Antin, Eleanor",Female,born 1935,1935.0,,"New York, United States",,http://www.tate.org.uk/art/artists/eleanor-antin-11604
78,653,"Anuszkiewicz, Richard",Male,born 1930,1930.0,,"Erie, United States",,http://www.tate.org.uk/art/artists/richard-anuszkiewicz-653
79,10241,"Apóstol, Alexander",Male,born 1969,1969.0,,"Barquisimeto, Venezuela",,http://www.tate.org.uk/art/artists/alexander-apostol-10241
80,654,"Appel, Karel",Male,1921–2006,1921.0,2006.0,"Amsterdam, Nederland","Zürich, Schweiz",http://www.tate.org.uk/art/artists/karel-appel-654
81,655,"Appelbee, Leonard",Male,1914–2000,1914.0,2000.0,"Fulham, United Kingdom",,http://www.tate.org.uk/art/artists/leonard-appelbee-655
82,656,"Appleyard, Fred",Male,1874–1963,1874.0,1963.0,"Middlesbrough, United Kingdom","Hampshire, United Kingdom",http://www.tate.org.uk/art/artists/fred-appleyard-656
83,2364,"Araeen, Rasheed",Male,born 1935,1935.0,,"Karachi, Pakistan",,http://www.tate.org.uk/art/artists/rasheed-araeen-2364
84,657,"Arakawa, Shusaku",,1936–2010,1936.0,2010.0,"Nagoya, Nihon","New York, United States",http://www.tate.org.uk/art/artists/shusaku-arakawa-657
85,2752,"Araki, Nobuyoshi",Male,born 1940,1940.0,,"Tokyo, Nihon",,http://www.tate.org.uk/art/artists/nobuyoshi-araki-2752
86,10494,"Araujo, Juan",Male,born 1971,1971.0,,"Caracas, Venezuela",,http://www.tate.org.uk/art/artists/juan-araujo-10494
87,5271,"Arbus, Diane",Female,1923–1971,1923.0,1971.0,"New York, United States","New York, United States",http://www.tate.org.uk/art/artists/diane-arbus-5271
88,12604,"Arcangel, Cory",Male,born 1978,1978.0,,"Buffalo, United States",,http://www.tate.org.uk/art/artists/cory-arcangel-12604
89,658,"Archipenko, Alexander",Male,1887–1964,1887.0,1964.0,"Kiyev, Ukrayina","New York, United States",http://www.tate.org.uk/art/artists/alexander-archipenko-658
90,659,"Ardizzone, Edward",Male,1900–1979,1900.0,1979.0,"Hai Phìng, Viet Nam","Kent, United Kingdom",http://www.tate.org.uk/art/artists/edward-ardizzone-659
91,660,"Ardon, Mordecai",Male,1896–1992,1896.0,1992.0,"Tuchów, Polska","Yerushalayim, Mehoz, Yisra'el",http://www.tate.org.uk/art/artists/mordecai-ardon-660
92,661,"Arikha, Avigdor",Male,1929–2010,1929.0,2010.0,"Radauti, România","Paris, France",http://www.tate.org.uk/art/artists/avigdor-arikha-661
93,662,Arman,Male,1928–2005,1928.0,2005.0,"Nice, France",,http://www.tate.org.uk/art/artists/arman-armand-fernandez-662
94,663,"Armfield, Maxwell Ashby",Male,1881–1972,1881.0,1972.0,"Ringwood, United Kingdom",,http://www.tate.org.uk/art/artists/maxwell-ashby-armfield-663
95,11,"Armitage, Edward",Male,1817–1896,1817.0,1896.0,"London, United Kingdom","Royal Tunbridge Wells, United Kingdom",http://www.tate.org.uk/art/artists/edward-armitage-11
96,664,"Armitage, Kenneth",Male,1916–2002,1916.0,2002.0,"Leeds, United Kingdom",,http://www.tate.org.uk/art/artists/kenneth-armitage-664
97,12,"Armstead, Henry Hugh",Male,1828–1905,1828.0,1905.0,"London, United Kingdom",,http://www.tate.org.uk/art/artists/henry-hugh-armstead-12
98,665,"Armstrong, John",Male,1893–1973,1893.0,1973.0,"Hastings, United Kingdom",,http://www.tate.org.uk/art/artists/john-armstrong-665
99,13,"Arnald, George",Male,1763–1841,1763.0,1841.0,"Berkshire, United Kingdom",,http://www.tate.org.uk/art/artists/george-arnald-13
100,666,"Arnatt, Keith",Male,1930–2008,1930.0,2008.0,"Oxford, United Kingdom",,http://www.tate.org.uk/art/artists/keith-arnatt-666
101,667,"Arp, Jean",Male,1886–1966,1886.0,1966.0,"Strasburg, Deutschland","Basel, Schweiz",http://www.tate.org.uk/art/artists/jean-arp-hans-arp-667
102,16245,Art & Language (Harold Hurrell),Male,born 1940,1940.0,,,,http://www.tate.org.uk/art/artists/art-language-harold-hurrell-16245
103,16236,Art & Language (Ian Burn),Male,1939–1993,1939.0,1993.0,"Geelong, Australia",,http://www.tate.org.uk/art/artists/art-language-ian-burn-16236
104,16838,Art & Language (Michael Baldwin),Male,born 1945,1945.0,,"Chipping Norton, United Kingdom",,http://www.tate.org.uk/art/artists/art-language-michael-baldwin-16838
105,2202,"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)",,,1944.0,,,,http://www.tate.org.uk/art/artists/art-language-michael-baldwin-born-1945-mel-ramsden-born-1944-2202
106,17138,"Art & Language (Terry Atkinson, born 1939; David Bainbridge, born 1941; Michael Baldwin, born 1945; Harold Hurrell, born",,established 1967/1968,1967.0,,,,http://www.tate.org.uk/art/artists/art-language-terry-atkinson-born-1939-david-bainbridge-born-1941-michael-baldwin-born-1945-17138
107,668,"Art & Language (Terry Atkinson, born 1939; Michael Baldwin, born 1945)",,,1939.0,,,,http://www.tate.org.uk/art/artists/art-language-terry-atkinson-born-1939-michael-baldwin-born-1945-668
108,2474,"Artaud, William",Male,1763–1823,1763.0,1823.0,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-artaud-2474
109,669,"Artschwager, Richard",Male,1923 – 2013,1923.0,2013.0,"Washington, United States",,http://www.tate.org.uk/art/artists/richard-artschwager-669
110,670,"Askew, Victor",Male,1909–1974,1909.0,1974.0,"Rotherham, United Kingdom","Hertfordshire, United Kingdom",http://www.tate.org.uk/art/artists/victor-askew-670
111,5229,"Ataman, Kutlug",Male,born 1961,1961.0,,"Istanbul, Türkiye",,http://www.tate.org.uk/art/artists/kutlug-ataman-5229
112,6630,"Atay, Fikret",Male,born 1974,1974.0,,"Batman, Türkiye",,http://www.tate.org.uk/art/artists/fikret-atay-6630
113,15601,"Atkins, Ed",Male,born 1982,1982.0,,United Kingdom,,http://www.tate.org.uk/art/artists/ed-atkins-15601
114,14,"Atkins, Samuel",Male,active 1787–1808,1787.0,1808.0,,,http://www.tate.org.uk/art/artists/samuel-atkins-14
115,671,"Atkinson, Conrad",Male,born 1940,1940.0,,"Cumbria, United Kingdom",,http://www.tate.org.uk/art/artists/conrad-atkinson-671
116,2412,"Atkinson, John Augustus",Male,1775–1830,1775.0,1830.0,"London, United Kingdom",,http://www.tate.org.uk/art/artists/john-augustus-atkinson-2412
117,672,"Atkinson, Lawrence",Male,1873–1931,1873.0,1931.0,,,http://www.tate.org.uk/art/artists/lawrence-atkinson-672
118,11829,"Atkinson, Terry",Male,born 1939,1939.0,,"Barnsley, United Kingdom",,http://www.tate.org.uk/art/artists/terry-atkinson-11829
119,673,"Atlan, Jean-Michel",Male,1913–1960,1913.0,1960.0,"Qacentina, Al-Jaza'ir","Paris, France",http://www.tate.org.uk/art/artists/jean-michel-atlan-673
120,7639,Atlas Group,,established 1999,1999.0,,,,http://www.tate.org.uk/art/artists/atlas-group-7639
121,15557,"Atlas, Charles",Male,born 1958,1958.0,,"Saint Louis City, United States",,http://www.tate.org.uk/art/artists/charles-atlas-15557
122,13674,"Attia, Kader",Male,born 1970,1970.0,,"Dugny, France",,http://www.tate.org.uk/art/artists/kader-attia-13674
123,674,"Atwood, Clare",Female,1866–1962,1866.0,1962.0,"Richmond, United Kingdom","Tenterden, United Kingdom",http://www.tate.org.uk/art/artists/clare-atwood-674
124,675,"Auerbach, Arnold",Male,1898–1978,1898.0,1978.0,"Liverpool, United Kingdom",,http://www.tate.org.uk/art/artists/arnold-auerbach-675
125,676,"Auerbach, Frank",Male,born 1931,1931.0,,"Berlin, Deutschland",,http://www.tate.org.uk/art/artists/frank-auerbach-676
126,14648,"Augustyniak, Mathias",Male,born 1968,1968.0,,"Cavaillon, France",,http://www.tate.org.uk/art/artists/mathias-augustyniak-14648
127,15,"Aumonier, James",Male,1832–1911,1832.0,1911.0,,,http://www.tate.org.uk/art/artists/james-aumonier-15
128,2398,"Austen, David",Male,born 1960,1960.0,,"Harlow, United Kingdom",,http://www.tate.org.uk/art/artists/david-austen-2398
129,677,"Austin, Robert",Male,1895–1973,1895.0,1973.0,"Leicester, United Kingdom",,http://www.tate.org.uk/art/artists/robert-austin-677
130,5711,"Avedon, Richard",Male,1923–2004,1923.0,2004.0,"New York, United States","San Antonio, United States",http://www.tate.org.uk/art/artists/richard-avedon-5711
131,10764,"Avery, Charles",Male,born 1973,1973.0,,"Oban, United Kingdom",,http://www.tate.org.uk/art/artists/charles-avery-10764
132,678,"Avery, Milton",Male,1893–1965,1893.0,1965.0,"Altmar, United States","New York, United States",http://www.tate.org.uk/art/artists/milton-avery-678
133,2714,"Aviline, François Antoine",Male,1727–1780,1727.0,1780.0,,,http://www.tate.org.uk/art/artists/francois-antoine-aviline-2714
134,2479,"Aylesford, Heneage Finch, Fifth Earl of",Male,1786–1859,1786.0,1859.0,,,http://www.tate.org.uk/art/artists/heneage-finch-fifth-earl-of-aylesford-2479
135,2480,"Aylesford, Heneage Finch, Fourth Earl of",Male,1751–1812,1751.0,1812.0,,,http://www.tate.org.uk/art/artists/heneage-finch-fourth-earl-of-aylesford-2480
136,679,"Ayot, Pierre",Male,born 1943,1943.0,,"Québec, Canada","Québec, Canada",http://www.tate.org.uk/art/artists/pierre-ayot-679
137,680,"Ayres, OBE Gillian",Female,born 1930,1930.0,,"London, United Kingdom",,http://www.tate.org.uk/art/artists/gillian-ayres-obe-680
138,681,"Ayrton, Michael",Male,1921–1975,1921.0,1975.0,"London, United Kingdom",,http://www.tate.org.uk/art/artists/michael-ayrton-681
139,14743,"Baalbaki, Ayman",Male,born 1975,1975.0,,"Marj ‘Uyun, Al-Lubnan",,http://www.tate.org.uk/art/artists/ayman-baalbaki-14743
140,13866,"Bäckström, Miriam",Female,born 1967,1967.0,,"Stockholm, Sverige",,http://www.tate.org.uk/art/artists/miriam-backstrom-13866
141,682,"Bacon, Francis",Male,1909–1992,1909.0,1992.0,"Dublin, Éire","Madrid, España",http://www.tate.org.uk/art/artists/francis-bacon-682
142,18070,"Bacon, John",,1740–1799,1740.0,1799.0,,,http://www.tate.org.uk/art/artists/john-bacon-18070
143,683,"Bacon, John Henry F.",Male,1868–1915,1868.0,1915.0,"London, United Kingdom",,http://www.tate.org.uk/art/artists/john-henry-f-bacon-683
144,2370,"Bacon, Sir Nathaniel",Male,1585–1627,1585.0,1627.0,,,http://www.tate.org.uk/art/artists/sir-nathaniel-bacon-2370
145,12918,"Baehnisch, Ruth",,1910–1997,1910.0,1997.0,,,http://www.tate.org.uk/art/artists/ruth-baehnisch-12918
146,684,"Baer, Jo",Female,born 1929,1929.0,,"Seattle, United States",,http://www.tate.org.uk/art/artists/jo-baer-684
147,685,"Baertling, Olle",Male,1911–1981,1911.0,1981.0,"Halmstad, Sverige","Stockholm, Sverige",http://www.tate.org.uk/art/artists/olle-baertling-685
148,16,"Baily, Edward Hodges",Male,1788–1867,1788.0,1867.0,"Bristol, United Kingdom","Islington, United Kingdom",http://www.tate.org.uk/art/artists/edward-hodges-baily-16
149,686,"Baj, Enrico",Male,1924–2003,1924.0,2003.0,"Milano, Italia",,http://www.tate.org.uk/art/artists/enrico-baj-686
150,13678,"Bakhshi Moakhar, Mahmoud",Male,born 1977,1977.0,,"Tehran, Îran",,http://www.tate.org.uk/art/artists/mahmoud-bakhshi-moakhar-13678
151,687,"Baldessari, John",Male,born 1931,1931.0,,"National City, United States",,http://www.tate.org.uk/art/artists/john-baldessari-687
152,2360,"Balka, Miroslaw",Male,born 1958,1958.0,,"Warszawa, Polska",,http://www.tate.org.uk/art/artists/miroslaw-balka-2360
153,688,"Balla, Giacomo",Male,1871–1958,1871.0,1958.0,"Torino, Italia","Roma, Italia",http://www.tate.org.uk/art/artists/giacomo-balla-688
154,12038,"Ballen, Roger",Male,born 1950,1950.0,,"New York, United States",,http://www.tate.org.uk/art/artists/roger-ballen-12038
155,5373,"Baltz, Lewis",Male,born 1945,1945.0,,"Newport Beach, United States",,http://www.tate.org.uk/art/artists/lewis-baltz-5373
156,690,"Banc, Jef",Male,born 1930,1930.0,,"Paris, France",,http://www.tate.org.uk/art/artists/jef-banc-690
157,2687,"Banner, Fiona",Female,born 1966,1966.0,,"England, United Kingdom",,http://www.tate.org.uk/art/artists/fiona-banner-2687
158,691,"Banting, John",Male,1902–1971,1902.0,1971.0,"Chelsea, United Kingdom","Hastings, United Kingdom",http://www.tate.org.uk/art/artists/john-banting-691
159,692,"Baran, Stefan",Male,born 1922,1922.0,,"Dormans, France",,http://www.tate.org.uk/art/artists/stefan-baran-692
160,4731,"Barclay, Claire",Female,born 1968,1968.0,,"Paisley, United Kingdom",,http://www.tate.org.uk/art/artists/claire-barclay-4731
161,18,"Barenger, James",Male,1780–1831,1780.0,1831.0,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/james-barenger-18
162,12686,"Barham, Anna",Female,born 1974,1974.0,,"Sutton Coldfield, United Kingdom",,http://www.tate.org.uk/art/artists/anna-barham-12686
163,693,"Barker, Clive",Male,born 1940,1940.0,,"Luton, United Kingdom",,http://www.tate.org.uk/art/artists/clive-barker-693
164,694,"Barker, Margaret",Female,born 1907,1907.0,,"Sydenham, United Kingdom",,http://www.tate.org.uk/art/artists/margaret-barker-694
165,19,"Barker, Thomas, of Bath",Male,1769–1847,1769.0,1847.0,"Pontypool, United Kingdom","Bath, United Kingdom",http://www.tate.org.uk/art/artists/thomas-barker-of-bath-19
166,695,"Barlach, Ernst",Male,1870–1938,1870.0,1938.0,"Wedel, Deutschland","Rostock, Deutschland",http://www.tate.org.uk/art/artists/ernst-barlach-695
167,20,"Barlow, Francis",Male,?1626–1704,1626.0,1704.0,,"London, United Kingdom",http://www.tate.org.uk/art/artists/francis-barlow-20
168,10908,"Barlow, Phyllida",Female,born 1944,1944.0,,"Newcastle upon Tyne, United Kingdom",,http://www.tate.org.uk/art/artists/phyllida-barlow-10908
169,2476,"Barnard, Rev. William Henry",Male,1767 or 9–1818,1767.0,1818.0,,,http://www.tate.org.uk/art/artists/rev-william-henry-barnard-2476
170,2362,"Barney, Matthew",Male,born 1967,1967.0,,"San Francisco, United States",,http://www.tate.org.uk/art/artists/matthew-barney-2362
171,696,"Barni, Roberto",Male,born 1939,1939.0,,"Pistoia, Italia",,http://www.tate.org.uk/art/artists/roberto-barni-696
172,697,"Barns-Graham, Wilhelmina",Female,1912–2004,1912.0,2004.0,"Saint Andrews, United Kingdom",,http://www.tate.org.uk/art/artists/wilhelmina-barns-graham-697
173,14953,"Barrada, Yto",Female,born 1971,1971.0,,"Paris, France",,http://www.tate.org.uk/art/artists/yto-barrada-14953
174,22,"Barret, George, Junior",Male,1767–1842,1767.0,1842.0,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/george-barret-junior-22
175,21,"Barret, George, Senior",Male,1728 or 32–1784,1728.0,1784.0,"Dublin, Éire","London, United Kingdom",http://www.tate.org.uk/art/artists/george-barret-senior-21
176,10168,"Barriball, Anna",Female,born 1972,1972.0,,"Plymouth, United Kingdom",,http://www.tate.org.uk/art/artists/anna-barriball-10168
177,23,"Barron, Hugh",Male,1747–1791,1747.0,1791.0,,,http://www.tate.org.uk/art/artists/hugh-barron-23
178,14311,"Barros, Geraldo de",Male,1923–1998,1923.0,1998.0,,,http://www.tate.org.uk/art/artists/geraldo-de-barros-14311
179,2477,"Barrow, Joseph Charles",Male,active 1789–1802,1789.0,1802.0,,,http://www.tate.org.uk/art/artists/joseph-charles-barrow-2477
180,24,"Barry, James",Male,1741–1806,1741.0,1806.0,"Cork, Éire","London, United Kingdom",http://www.tate.org.uk/art/artists/james-barry-24
181,6882,"Bartana, Yael",Female,born 1970,1970.0,,"‘Afula, Yisra'el",,http://www.tate.org.uk/art/artists/yael-bartana-6882
182,2678,"Barth, Uta",Female,born 1958,1958.0,,"Berlin, Deutschland",,http://www.tate.org.uk/art/artists/uta-barth-2678
